year,avg_temp,temp_3day_moving_average,temp_7day_moving_average,,,,,,,,,,,,,,,,,,,year,avg_temp,temp_3day_moving_average,temp_7day_moving_average
1758,23.05,,,,,,,,,,,,,,,,,,,,,1750,8.72,,
1759,22.56,,,,,,,,,,,,,,,,,,,,,1751,7.98,,
1760,15.14,20.25,,,,,,,,,,,,,,,,,,,,1752,5.78,7.493333333,
1768,21.77,19.82333333,,,,,,,,,,,,,,,,,,,,1753,8.39,7.383333333,
1769,22.57,19.82666667,,,,,,,,,,,,,,,,,,,,1754,8.47,7.546666667,
1770,22.64,22.32666667,,,,,,,,,,,,,,,,,,,,1755,8.36,8.406666667,
1771,23.28,22.83,21.57285714,,,,,,,,,,,,,,,,,,,1756,8.85,8.56,8.078571429
1773,23.52,23.14666667,21.64,,,,,,,,,,,,,,,,,,,1757,9.02,8.743333333,8.121428571
1775,24.52,23.77333333,21.92,,,,,,,,,,,,,,,,,,,1758,6.74,8.203333333,7.944285714
1776,24.26,24.1,23.22285714,,,,,,,,,,,,,,,,,,,1759,7.99,7.916666667,8.26
1777,24.16,24.31333333,23.56428571,,,,,,,,,,,,,,,,,,,1760,7.19,7.306666667,8.088571429
1781,23.39,23.93666667,23.68142857,,,,,,,,,,,,,,,,,,,1761,8.77,7.983333333,8.131428571
1782,23.45,23.66666667,23.79714286,,,,,,,,,,,,,,,,,,,1762,8.61,8.19,8.167142857
1783,22.44,23.09333333,23.67714286,,,,,,,,,,,,,,,,,,,1763,7.5,8.293333333,7.974285714
1784,22.57,22.82,23.54142857,,,,,,,,,,,,,,,,,,,1764,8.4,8.17,7.885714286
1785,22.24,22.41666667,23.21571429,,,,,,,,,,,,,,,,,,,1765,8.25,8.05,8.101428571
1786,22.81,22.54,23.00857143,,,,,,,,,,,,,,,,,,,1766,8.41,8.353333333,8.161428571
1787,22.86,22.63666667,22.82285714,,,,,,,,,,,,,,,,,,,1767,8.22,8.293333333,8.308571429
1788,23.21,22.96,22.79714286,,,,,,,,,,,,,,,,,,,1768,6.78,7.803333333,8.024285714
1789,23.01,23.02666667,22.73428571,,,,,,,,,,,,,,,,,,,1769,7.69,7.563333333,7.892857143
1790,22.88,23.03333333,22.79714286,,,,,,,,,,,,,,,,,,,1770,7.69,7.386666667,7.92
1791,23.17,23.02,22.88285714,,,,,,,,,,,,,,,,,,,1771,7.85,7.743333333,7.841428571
1792,22.73,22.92666667,22.95285714,,,,,,,,,,,,,,,,,,,1772,8.19,7.91,7.832857143
1793,23.04,22.98,22.98571429,,,,,,,,,,,,,,,,,,,1773,8.22,8.086666667,7.805714286
1794,23.21,22.99333333,23.03571429,,,,,,,,,,,,,,,,,,,1774,8.77,8.393333333,7.884285714
1795,20.52,22.25666667,22.65142857,,,,,,,,,,,,,,,,,,,1775,9.18,8.723333333,8.227142857
1796,22.89,22.20666667,22.63428571,,,,,,,,,,,,,,,,,,,1776,8.3,8.75,8.314285714
1797,22.91,22.10666667,22.63857143,,,,,,,,,,,,,,,,,,,1777,8.26,8.58,8.395714286
1798,23.47,23.09,22.68142857,,,,,,,,,,,,,,,,,,,1778,8.54,8.366666667,8.494285714
1799,23.25,23.21,22.75571429,,,,,,,,,,,,,,,,,,,1779,8.98,8.593333333,8.607142857
